Time,Bus,MessageID,Message,MessageLength
1580765471.675426,0,705,00012cfe0bb20fc2,8
1580765471.676344,0,170,29772970296c296c,8
1580765471.6766222,0,37,00000fff2000005b,8
1580765471.6768816,0,180,00000000310ef7f2,8
1580765471.6770744,0,552,7f0000ad,4
1580765471.6772234,0,544,00000026,4
1580765471.677485,0,562,33382857698d,6
1580765471.6777442,0,565,000000000000003f,8
1580765471.6796215,0,401,d60005306464006d,8
1580765471.6806211,0,1020,0000200034007168,8
1580765471.6836202,0,743,7d04000000000072,8
1580765471.6845934,1,296,f8c190000880,6
1580765471.6855938,1,353,80447a010008b0,7
1580765471.6857498,0,610,00080002580000ce,8
1580765471.685895,0,1568,10000000b0000400,8
1580765471.6863961,0,170,29792974296e296a,8
1580765471.6867344,0,37,00000fff2000005b,8
1580765471.6869156,0,466,8104ff64ff920054,8
1580765471.6871707,0,36,020001f3420980ed,8
1580765471.689595,0,740,d6000000c1,5
1580765471.6897464,0,464,0d94100003000b98,8
1580765471.6924975,0,643,0000000000008c,7
1580765471.6936264,0,742,fff800087fe0004e,8
1580765471.6938963,0,452,06d31b083700c1c1,8
1580765471.696388,0,170,2976297129692971,8
1580765471.6967614,0,37,00000fff2000005b,8
1580765471.69748,0,800,0000ffc0fb0100e6,8
1580765471.6976676,0,810,0837,2
1580765471.6981623,1,387,2514aa0ce0e4e120,8
1580765472.0238008,0,452,06aa1b083700c59c,8
1580765472.0240037,0,467,0028000000000004,8
1580765472.024588,0,835,0000638000000031,8
1580765472.0248346,0,608,00000b0005ffe35c,8
1580765472.0250435,0,705,00029c027db814b4,8
1580765472.02562,0,740,800000006b,5
1580765472.0263798,0,170,29772971296e297d,8
1580765472.0265968,0,186,01fa20d9,4
1580765472.0269015,0,37,00000fff2000005b,8
1580765472.0270748,0,36,020001fc420a80f7,8
1580765472.0307662,0,1020,0000200034807180,8
1580765472.0356164,0,743,7d04000000000072,8
1580765472.0358639,0,466,8104ff89ffb20099,8
1580765472.0368366,0,37,00000fff2000005b,8
1580765472.0370688,0,180,000000007d0efc43,8
1580765472.0373154,0,552,0000002e,4
1580765472.0374618,0,544,00000026,4
1580765472.0376167,0,562,dbe008fe110c,6
1580765472.0378642,0,565,000000000000003f,8
1580765472.038098,0,426,0000000000b1,6
1580765472.0387151,0,836,000000000000004f,8
1580765472.0389085,0,1076,4140000001800000,8
1580765472.0392303,0,464,0d69100003000b6d,8
1580765472.0393794,0,1114,6c02000000000000,8
1580765472.039713,0,401,8200053064640019,8
1580765472.0445971,0,643,0000000000008c,7
1580765472.044776,0,608,00000a0006ffdf58,8
1580765472.045664,0,742,fff800087fe0004e,8
1580765472.0458462,0,610,00080002580000ce,8
1580765472.0464222,0,170,297c29742980296a,8
1580765472.0474193,0,1279,3f00000200000000,8
1580765472.047621,0,452,06a61b083700c598,8
1580765472.0480373,0,800,0000ffc0000100eb,8
1580765472.048405,0,812,0000000000000037,8
1580765472.048901,1,387,2c11940d20e4e14f,8
1580765472.2007873,1,391,2f2bbaf2ec0d0190,8
1580765472.20106,1,392,2f085a0b60e4c031,8
1580765472.2013195,1,393,2f1c84ffe004e024,8
1580765472.2019684,1,394,2f043a0b60e4e837,8
1580765472.2021854,1,395,2f0b4e0940e43079,8
1580765472.202925,1,396,2f0c58ffe003212b,8
1580765472.2031069,1,397,2f05340b20e4606d,8
1580765472.203949,1,398,2f0d6c0a20e490dd,8
1580765472.2041576,1,399,2f0a1c0ac0e448e3,8
1580765472.204675,0,643,0000000000008c,7
1580765472.2052493,1,401,2f04000000044819,8
1580765472.205632,0,742,fff800087fe0004e,8
1580765472.2058287,0,610,00080002580000ce,8
1580765472.2060232,1,402,2f000000008454a2,8
1580765472.2062635,1,403,2f10000000844ead,8
1580765472.206814,0,37,00000fff2000005b,8
1580765472.2076368,0,401,980005306464002f,8
1580765472.2079055,1,406,2f000000000000ce,8
1580765472.2081802,1,407,2f0000000004481b,8
1580765472.2086985,1,576,c000100100100100,8
1580765472.2089298,1,577,c000100100100100,8
1580765472.2091877,1,408,2f0e00a060ffb08d,8
1580765472.2094567,1,409,2f045f0060ff60f3,8
1580765472.2097793,1,578,c000100100100100,8
1580765472.2106717,1,580,c000100100100100,8
1580765472.2109802,1,581,c000100100100100,8
1580765472.211241,1,412,2f066402600050f0,8
1580765472.211487,1,413,2ffc000060000031,8
1580765472.2116866,1,582,c000100100100100,8
1580765472.211906,1,583,c000100100100100,8
1580765472.212305,1,415,2ffe00006000a0d5,8
1580765472.212666,1,584,c400010000000000,8
1580765472.2128828,1,416,2f7fff663200ed,7
1580765472.2131531,1,417,2f0009f2000001d5,8
1580765472.2138577,1,418,2f0a5c0a5c0a5c0c,8
1580765472.2140856,0,467,00280000ff000003,8
1580765472.2142916,1,419,2f01fc0001fc00d5,8
1580765472.2150428,1,436,2f06300001dff2f4,8
1580765472.2158878,1,438,2f1bb5002881ce35,8
1580765472.2161965,1,439,2f082b1200015c91,8
1580765472.216498,0,170,2973297a297a2977,8
1580765472.2167854,0,835,0000638000000031,8
1580765472.2186544,0,1556,29005e3000000f19,8
1580765472.2226388,0,1002,0000000000000000,8
1580765472.224795,0,608,00000a0005ffca42,8
1580765472.2264163,0,466,8104ff9cffc200bc,8
1580765472.226631,0,170,2979297f2979296a,8
1580765472.2268174,0,37,00000fff2000005b,8
1580765472.2271717,0,36,020001fa420b80f6,8
1580765472.2276032,0,550,4000100000000000,8
1580765472.2278147,0,743,7d04000000000072,8
1580765472.2286131,1,296,fc81000008b4,6
1580765472.2295237,0,464,0d87100003000b8b,8
1580765472.2297404,0,836,000000000000004f,8
1580765472.2307894,0,1020,0000208035007170,8
1580765472.2319596,0,401,9a00053064640031,8
1580765472.2343938,0,1114,6c02000000000000,8
1580765472.234633,0,1553,2100002000000182,8
1580765472.2356348,0,452,06b51b083700c6a8,8
1580765472.2364302,0,170,298a298e29772976,8
1580765472.2366319,0,643,0000000000008c,7
1580765472.2370183,0,37,00000fff2000005b,8
1580765472.2372296,0,180,00000000a90ef76a,8
1580765472.237632,0,426,0000000000b1,6
1580765472.238013,0,742,fff800087fe0004e,8
1580765472.2416384,0,740,9c00000087,5
1580765472.24465,0,608,00000d0005fff36e,8
1580765472.2457695,0,610,00080002580000ce,8
1580765472.2459824,0,467,00280000ff000003,8
1580765472.2463562,0,170,298e29692976296a,8
1580765472.2467642,0,37,00000fff2000005b,8
1580765472.2476313,0,562,3d420060738c,6
1580765472.248084,1,386,3036f80ee0e4813c,8
1580765472.2486417,0,812,0000000000000037,8
1580765472.2491024,1,388,301ca8ff6c04f1e1,8
1580765472.2499542,1,389,3023da0ec0e4d13e,8
1580765472.25015,1,390,30fff800000000b6,8
1580765472.2509875,1,391,302c02f2ec0d01da,8
1580765472.2511878,1,392,3007e80b40e4906f,8
1580765472.2518094,0,824,0000000000000000,8
1580765472.2529433,1,395,300ade0940e43811,8
1580765472.2531807,1,396,300c68000003316d,8
1580765472.2539248,1,397,3004d00b00e460e9,8
1580765472.254132,1,398,300d000a40e47072,8
1580765472.2550645,1,399,3009ae0ac0e44875,8
1580765472.255351,1,400,300064000005285a,8
1580765472.2556534,0,401,9e00053064640035,8
1580765472.2558556,1,401,3002000000044818,8
1580765472.2562752,1,402,30000000008454a3,8
1580765472.2565353,0,170,2965295d297a2974,8
1580765472.256799,0,180,00000000ad0ef76e,8
1580765472.2576327,0,550,4000100000000000,8
1580765472.2579932,1,405,30f0000000845a9c,8
1580765472.2589471,1,407,300000000004481c,8
1580765472.259687,0,743,7d04000000000072,8
1580765472.259907,1,409,300a5f00600040db,8
1580765472.2601037,1,410,300e000460ffc004,8
1580765472.2606313,1,296,fd81b0000865,6
1580765472.2608273,1,352,0000081201319c51,8
1580765472.261055,1,411,3000008060ff00b3,8
1580765472.2613115,1,412,30046402600060ff,8
1580765472.261678,1,353,804478010008ae,7
1580765472.261882,1,576,e000100100100100,8
1580765472.2620797,1,413,3000000060ffb0e5,8
1580765472.2626636,1,577,e000100100100100,8
1580765472.2628613,1,578,e000100100100100,8
1580765472.2630792,1,415,300000006000a0d8,8
1580765472.2634335,1,416,307fff663300ef,7
1580765472.2636518,1,579,e000100100100100,8
1580765472.2638605,1,580,e000100100100100,8
1580765472.2640686,1,417,300009f2000001d6,8
1580765472.26444,1,418,300a5c0a5c0a5c0d,8
1580765472.2653482,1,436,30063300615ff4da,8
1580765472.265912,1,584,e400010000000000,8
1580765472.2661326,1,437,300842f0001eca10,8
1580765472.266364,1,438,301b7f011081cde8,8
1580765472.2679513,1,441,3011f1080001cac7,8
1580765472.268176,1,442,307ffc00000ffc79,8
1580765472.2686381,0,643,0000000000008c,7
1580765472.2688544,1,443,30160ffc001e7aad,8
1580765472.2692287,1,976,18808080808080f3,8
1580765472.269635,0,742,fff800087fe0004e,8
1580765472.269997,1,977,18808080808080f4,8
1580765472.2704065,1,978,18808080808080f5,8
1580765472.2707937,0,818,0000000000000000,8
